SETTD,DAILYT
2014-04-01,6363749.701
2014-04-02,5630825.535
2014-04-03,5173891.385
2014-04-04,5044050.18
2014-04-05,4383318.3
2014-04-06,4262109.115
2014-04-07,5099462.93
2014-04-08,5181023.405
2014-04-09,5263781.889
2014-04-10,5291241.455
2014-04-11,5253397.465
2014-04-12,4462922.879
2014-04-13,4318969.114
2014-04-14,5128605.399
2014-04-15,5158090.48
2014-04-16,5214111.6680000005
2014-04-17,5042052.798
2014-04-18,4251321.74
2014-04-19,4279159.798
2014-04-20,4087389.303
2014-04-21,4428401.46
2014-04-22,5550592.137
2014-04-23,5290924.89
2014-04-24,5354879.664
2014-04-25,4633000.014
2014-04-26,4766461.615
2014-04-27,4800318.199
2014-04-28,5668943.609
2014-04-29,5603860.873
2014-04-30,5767658.929
2014-05-01,6092459.772999999
2014-05-02,6247405.8489999985
2014-05-03,5515043.9
2014-05-04,5852192.577000001
2014-05-05,6532366.149
2014-05-06,6493715.986000001
2014-05-07,6385016.64
2014-05-08,6507758.101
2014-05-09,6299815.99
2014-05-10,5577307.4
2014-05-11,5193492.122
2014-05-12,6090149.486000001
2014-05-13,6042691.497
2014-05-14,5909876.396000002
2014-05-15,5562200.548
2014-05-16,5320958.205
2014-05-17,4706521.471
2014-05-18,4559652.97
2014-05-19,5281045.529
2014-05-20,5398581.977000001
2014-05-21,5377306.124
2014-05-22,5325499.406
2014-05-23,5380971.014
2014-05-24,4913069.88
2014-05-25,4794920.329
2014-05-26,5594485.188999998
2014-05-27,5530392.449
2014-05-28,5753426.63
2014-05-29,6009448.369
2014-05-30,6064794.631
2014-05-31,5334707.844
2014-06-01,5461514.007
2014-06-02,6138530.573
2014-06-03,6178048.34
2014-06-04,6140290.534
2014-06-05,6162138.363
2014-06-06,6230004.135
2014-06-07,5347404.379
2014-06-08,5209929.641
2014-06-09,5751502.955
2014-06-10,6371684.498
2014-06-11,6582284.364
2014-06-12,6562492.31
2014-06-13,6224521.9739999985
2014-06-14,5778191.542
2014-06-15,5615947.957
2014-06-16,6653602.783
2014-06-17,6662307.291
2014-06-18,6602329.438999998
2014-06-19,6943596.478999998
2014-06-20,6620943.384
2014-06-21,5767220.502
