,SETTD,PROFILEAREA,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
0,01/04/2014,CITIPOWER,6363749.701,83948.634,75686.72,70851.453,67607.385,66124.942,64953.942,64306.670999999995,63942.164000000004,65693.57400000001,69103.895,79207.821,92958.63900000001,113473.575,127231.903,126103.34599999999,128653.54400000001,135016.936,140757.989,147464.56900000002,150952.258,152405.205,157353.468,162070.501,165824.325,169120.86399999997,171905.056,175517.88199999998,177567.19100000002,179084.87,180978.413,184965.40300000002,187327.702,185318.324,181107.34600000002,173828.076,169128.26100000003,166205.174,168432.01100000003,165503.644,160069.821,152968.05599999998,145198.285,133952.389,121154.38900000001,113845.677,111219.265,111446.631,106211.51199999999,MRIM
1,02/04/2014,CITIPOWER,5630825.535,93503.589,84693.35699999999,79590.49900000001,76384.55,74882.906,73439.136,72621.772,72315.575,73624.68400000001,77085.201,86539.539,100312.808,120888.16699999999,134165.967,134442.428,138041.133,142454.229,145012.938,147237.284,148187.244,148487.483,148542.58800000002,147099.685,145918.86,146633.814,144830.45,143110.388,140455.387,137289.0,135343.869,134897.603,133770.582,131962.036,130488.049,131172.085,133743.228,134556.792,133095.193,128810.57800000001,124538.811,119661.538,113667.96699999999,105081.148,95684.746,91694.112,91698.65699999999,93790.379,89377.50099999999,MRIM
2,03/04/2014,CITIPOWER,5173891.385,77688.455,69851.785,65002.304000000004,62203.224,60863.263,59985.433,59409.225999999995,59482.560999999994,61251.545,65252.151,74421.688,88581.214,108674.531,123082.555,122623.79800000001,124623.925,128442.707,130923.30699999999,133332.794,133261.967,133156.69199999998,132498.7,132953.656,132982.91,133325.461,132277.265,130721.01699999999,129274.629,127476.046,125926.511,126647.81800000001,126819.836,125496.10800000001,125316.905,124818.375,126244.59,128212.539,129385.60699999999,126612.43,122934.586,118084.353,112122.808,104010.74900000001,94635.246,90432.761,90406.507,92838.823,89320.024,MRIM
3,04/04/2014,CITIPOWER,5044050.18,77761.113,69530.046,64437.28,61304.327000000005,59653.842000000004,58588.59099999999,58218.212,58194.215,59873.035,63777.977,73680.455,88009.685,108877.04400000001,123286.254,122365.375,123103.659,125684.25300000001,127814.05300000001,128851.506,127954.591,129823.73599999999,129695.03199999999,129827.036,129711.12400000001,129244.692,128768.214,127643.06,126337.34599999999,124668.804,123354.255,122680.335,122755.153,121203.683,119332.82800000001,118138.769,120080.67800000001,121650.34800000001,121663.65400000001,118155.09599999999,114460.06,110398.85800000001,105854.67199999999,100063.838,93741.476,91659.93,93286.271,96403.43699999999,92482.28199999999,MRIM
4,05/04/2014,CITIPOWER,4383318.3,80930.298,72390.242,66461.93400000001,63121.602999999996,60993.087999999996,59567.852999999996,58667.439000000006,58117.083,58198.29,59086.899000000005,61653.236,64892.258,71633.484,79497.061,83696.973,90604.538,97109.73,100955.78,104849.37,106018.379,106871.636,106635.621,106420.799,105253.62,104645.359,104444.26400000001,102963.709,102642.97099999999,102232.13900000001,101253.54800000001,101564.375,102829.845,103086.83099999999,104644.775,106096.98599999999,107995.049,110759.222,112973.916,110581.70599999999,107937.349,104206.712,100866.709,96744.69699999999,91474.78300000001,91223.01699999999,94194.091,98842.62,95486.413,MRIM
5,06/04/2014,CITIPOWER,4262109.115,84042.475,74830.008,68258.078,63925.65,61529.305,59553.318,58571.414000000004,57634.039000000004,57173.45,57034.224,57725.187999999995,58651.165,61685.71599999999,65586.424,68516.04,74589.837,81344.646,86263.82800000001,90207.055,92729.766,95164.875,96075.013,97587.793,98169.09,98282.477,97772.616,97352.295,95968.52699999999,95534.53,95722.705,96155.416,96695.334,97780.69099999999,100924.882,104092.67,109529.789,118149.81,124177.05099999999,122291.205,118760.946,115360.965,111472.23,106338.666,99936.882,97605.15400000001,97977.742,100751.898,96626.237,MRIM
6,07/04/2014,CITIPOWER,5099462.93,84126.839,74351.793,67500.137,62948.64,60297.154,58548.262,57584.397000000004,56746.922,56631.237,57053.49,59720.19,64162.297999999995,74897.459,89019.915,100157.138,110460.784,116266.946,119805.49699999999,124267.463,125868.461,126751.345,127882.151,128740.914,128940.60800000001,130931.109,132186.811,131285.52599999998,131685.203,131375.12300000002,130199.636,129254.84300000001,128312.004,126986.004,127197.64,125968.59300000001,128084.281,134451.284,138580.87099999998,135441.71,130643.021,124427.53,119933.711,114230.05699999999,107544.06,103956.91900000001,103185.171,103322.127,97549.656,MRIM
7,08/04/2014,CITIPOWER,5181023.405,84308.20300000001,74439.704,67536.207,63272.405,60855.547,59279.927,58371.503,57558.665,57629.301,58121.85400000001,60346.793,64805.793,75480.196,89555.90699999999,100555.606,111497.44099999999,118249.526,122817.829,126050.838,128289.963,130479.555,131447.30800000002,131883.55800000002,131966.323,132599.285,132820.875,132459.024,131808.315,131862.25,131646.438,130735.079,129903.841,129566.35699999999,130535.875,131576.508,134322.245,138700.001,140547.73,137365.775,132860.366,126820.555,121855.231,116461.788,109404.209,105448.2,104123.55900000001,104251.897,98548.05,MRIM
8,09/04/2014,CITIPOWER,5263781.8889999995,84783.242,74705.69,67726.707,63318.133,60976.793,59284.390999999996,58457.856,57605.017,57755.297,58223.105,60601.096,65049.759000000005,75382.771,90039.88900000001,101903.21,114002.799,122185.855,126600.025,129961.935,131285.834,133043.966,133944.839,134529.05,134590.345,135524.957,135673.408,135750.449,134605.218,133519.198,132343.845,130714.399,129638.35800000001,130037.362,132426.786,134302.372,138230.149,141483.792,142917.043,139080.958,134554.887,128640.921,123666.55900000001,118091.472,111992.105,108447.311,107596.63699999999,107301.77699999999,101284.32199999999,MRIM
9,10/04/2014,CITIPOWER,5291241.455,87601.668,77077.475,69608.229,64982.529,62016.935,59943.995,59115.386,58351.922999999995,58159.499,58571.072,60861.515,65354.314000000006,75572.554,89922.099,101971.933,114852.248,122455.998,126219.728,130168.377,131759.587,133040.897,133657.859,134653.744,135495.396,136289.5,135861.149,136028.637,134891.47699999998,134393.008,133253.572,132038.988,131168.282,131668.518,133501.061,135098.845,137209.37699999998,140054.125,141599.781,138197.015,133633.957,129022.985,124290.347,118264.51199999999,112495.8,109486.38900000001,108849.17199999999,109460.651,103069.347,MRIM
10,11/04/2014,CITIPOWER,5253397.465,89173.005,78097.568,70625.93400000001,65671.766,62689.543,60775.555,59857.166,58981.793,58822.505,59016.181,61247.874,65518.371,75421.12599999999,89077.509,100665.127,112980.79199999999,120889.97,126266.23599999999,130771.088,133693.045,135335.27300000002,135410.253,133790.156,135298.589,136232.05800000002,136319.688,136599.881,135981.642,134558.24300000002,133261.56699999998,131733.772,130740.171,131611.285,132723.167,133106.253,134566.468,136271.934,136603.219,132134.936,127241.712,122135.701,117683.55300000001,113049.671,108237.585,107042.037,108584.98800000001,110944.332,105957.177,MRIM
11,12/04/2014,CITIPOWER,4462922.879,92742.743,81831.799,74054.834,68612.075,64940.312000000005,62723.707,61285.799000000006,59914.074,59117.759000000005,58713.763,59409.181,60699.880999999994,63795.297999999995,68099.483,71772.466,78466.656,85925.205,92564.114,98325.403,102210.377,105673.022,105401.88,105594.594,107618.288,107013.972,104616.871,105307.45599999999,103027.08,101029.27699999999,100602.03199999999,100291.62,100315.579,100801.475,102769.12800000001,105101.59199999999,112048.05699999999,120727.704,123834.508,121006.996,116705.996,112460.67800000001,109129.67599999999,105324.258,101467.57800000001,101977.984,104601.76199999999,108398.01199999999,104870.875,MRIM
12,13/04/2014,CITIPOWER,4318969.114,92192.65800000001,81652.214,73900.418,68187.692,64434.460999999996,61901.809,60405.005,59150.404,58169.982,57831.22,58136.574,58716.301,60902.06,63827.598,65979.367,71229.687,77296.182,82099.16900000001,86852.474,90026.30300000001,93282.969,95220.08,96716.39199999999,97316.364,97868.18400000001,97446.915,97243.31300000001,96075.63900000001,95343.35699999999,94770.877,95146.759,95497.64199999999,96526.26400000001,98826.55099999999,102743.55,110158.009,122590.371,128480.93,126429.08,123292.01699999999,119451.463,116134.638,111248.367,105775.226,103673.43800000001,103272.099,105055.226,100491.81599999999,MRIM
13,14/04/2014,CITIPOWER,5128605.399,87850.951,77466.233,69996.885,64851.405999999995,61779.85400000001,59863.599,58698.096,57828.974,57796.350999999995,58379.045,60723.642,65413.199,76131.665,90588.987,101679.34300000001,112699.72099999999,119281.201,121673.602,124459.575,125520.898,126379.284,126631.163,127090.98300000001,126876.02699999999,126927.284,126985.492,126998.543,126134.3,125683.84300000001,124690.045,123522.207,122898.18,122560.55699999999,122882.93,123972.42599999999,127958.974,136939.35199999998,141814.34,139366.469,135082.50400000002,130352.641,125517.93199999999,119411.951,112424.002,108601.26,107811.391,108172.51199999999,102235.58,MRIM
