SETTD,Actual,ARIMA,ARIMA (Walk-Forward)
2019-01-01,3858957.9910000004,4373397.036219878,4373397.036219878
2019-01-02,4264155.819,4596834.497749038,4170140.676693299
2019-01-03,4690920.697,4781742.023535937,4505631.605433145
2019-01-04,5841792.852000001,4934763.7812064625,4858989.962126894
2019-01-05,3913922.67,5061398.206825045,5811564.3177967
2019-01-06,3730699.937,5166195.576793022,4216888.49571365
2019-01-07,4522176.411,5252921.510112954,4064275.8458971325
2019-01-08,4678678.71,5324692.276044501,4719667.427665544
2019-01-09,4440206.5,5384086.769078074,4848979.639689101
2019-01-10,4419718.964,5433239.174753664,4651361.554429394
2019-01-11,5010505.994,5473915.656028317,4634101.059098567
2019-01-12,4427204.071,5507577.8157160375,5123038.662056014
2019-01-13,4538930.193,5535435.2153566405,4640119.103272644
2019-01-14,6719079.187999999,5558488.837641589,4732377.82526629
2019-01-15,6908755.656,5577567.054105211,6535286.146003911
2019-01-16,5909232.3879999975,5593355.390486104,6692402.525390023
2019-01-17,6370372.761,5606421.159299009,5866177.837522941
2019-01-18,5746941.977999999,5617233.8447241075,6247194.239026591
2019-01-19,4255138.382,5626181.972291365,5732195.33214476
2019-01-20,4245171.891,5633587.069527809,4500113.730333109
2019-01-21,5503980.766,5639715.219207056,4491472.797206299
2019-01-22,6170490.607999999,5644786.62033687,5531345.129566096
2019-01-23,5546048.851,5648983.500433739,6081393.966769256
2019-01-24,7780597.272000001,5652456.663391398,5566123.081574032
2019-01-25,8912832.263,5655330.908223756,7409614.841625637
2019-01-26,5286246.01,5657709.513390588,8349380.302732349
2019-01-27,4385012.565,5659677.947838476,5353672.977894257
2019-01-28,5366250.573,5661306.942103546,4613092.868515805
2019-01-29,6875957.4810000025,5662655.029828019,5419316.463453922
2019-01-30,7175101.9229999995,5663770.651013341,6658644.982039947
2019-01-31,5185127.796,5664693.892584747,6904827.288578275
2019-02-01,4765241.7080000015,5665457.928809933,5271447.755765382
2019-02-02,5858200.055,5666090.213329477,4927043.708364726
2019-02-03,6700247.037000001,5666613.465631494,5823060.489702512
2019-02-04,5357306.245,5667046.487416947,6513256.2804855835
2019-02-05,5280422.902,5667404.838189516,5412853.748693908
2019-02-06,6694911.488,5667701.394345615,5349847.368429023
2019-02-07,6682464.846,5667946.811853968,6508011.064596775
2019-02-08,5370280.366,5668149.9091499355,6498022.249039066
2019-02-09,4174014.393,5668317.984002892,5423841.678759989
2019-02-10,3999226.527,5668457.0757424515,4444702.353938101
2019-02-11,5025919.508,5668572.182265965,4300920.863124181
2019-02-12,4774025.546,5668667.4396248665,5141779.979513223
2019-02-13,4615655.352,5668746.270642849,4935521.786966414
2019-02-14,4676531.936000002,5668811.507906064,4805686.884891331
2019-02-15,4795897.5660000015,5668865.4955447,4855332.778528917
2019-02-16,4328133.823,5668910.173463142,4952904.6046322305
2019-02-17,4514209.141,5668947.147045368,4569571.111503692
2019-02-18,5061732.575,5668977.744840216,4721748.8263628865
2019-02-19,4718008.299,5669003.066299299,5170083.329855131
2019-02-20,4741220.826,5669024.021282926,4888507.475878257
2019-02-21,4717467.605,5669041.362753551,4907351.474021243
2019-02-22,4697509.185,5669055.713831499,4887723.375607058
2019-02-23,4214619.961,5669067.590185167,4871194.14307163
2019-02-24,4846462.989,5669077.418560216,4475127.000977554
2019-02-25,6388268.297,5669085.552113563,4992908.6149293985
2019-02-26,5473427.77,5669092.283103142,6255250.741942197
2019-02-27,5453256.945,5669097.8533894345,5506593.398627681
2019-02-28,7456716.714,5669102.463126088,5490070.235662295
2019-03-01,8553113.678,5669106.277951915,7128893.3430495225
2019-03-02,7879497.047,5669109.434942691,8029748.799968777
2019-03-03,7429985.339,5669112.04753661,7477638.127996405
2019-03-04,6226115.749,5669114.209610391,7109575.833133413
2019-03-05,5515547.409,5669115.998852495,6123295.911025242
2019-03-06,4778108.335,5669117.479554648,5541973.33286124
2019-03-07,4703388.31,5669118.704922004,4938647.023963696
2019-03-08,4739710.312,5669119.71898493,4877327.270777725
2019-03-09,4168475.7,5669120.558181122,4906887.457058387
2019-03-10,3981188.175,5669121.252664896,4438846.703819169
2019-03-11,4177516.953,5669121.827390706,4284793.325748797
2019-03-12,4783533.231000002,5669122.303009821,4445277.418849959
2019-03-13,4768200.179,5669122.696612367,4941721.093362912
2019-03-14,4747516.759,5669123.022341421,4929009.97876925
2019-03-15,4729908.985,5669123.291901203,4911908.762964151
2019-03-16,4312041.286,5669123.514977638,4897319.671309913
2019-03-17,4410541.412,5669123.699586393,4554599.218495424
