,Actual,LSTM
0,3858957.9910000004,4515832.297691276
1,4264155.819,4406280.259553422
2,4690920.697,4721521.325776062
3,5841792.852000001,4815757.659231887
4,3913922.6699999995,5420983.701349156
5,3730699.937,3729525.195547183
6,4522176.411,4130052.3370303814
7,4678678.71,4624985.257356987
8,4440206.5,4775355.273395412
9,4419718.964,4693860.841974411
10,5010505.993999999,4628552.772642634
11,4427204.071,4893292.3051303765
12,4538930.193,4344005.403894042
13,6719079.187999999,4587476.081801501
14,6908755.656,6114300.630591411
15,5909232.3879999975,5871783.03319483
16,6370372.761,5277787.6821647845
17,5746941.977999999,5870911.868791391
18,4255138.382,5226953.196753582
19,4245171.891,4558392.749254793
20,5503980.766,4958396.9965402335
21,6170490.607999999,5808870.303832333
22,5546048.851,5923333.831870915
23,7780597.272000001,5172414.4519268945
24,8912832.263,6997346.708294273
25,5286246.01,7056129.30139624
26,4385012.565,4419332.226005533
27,5366250.573,5297479.126573595
28,6875957.4810000025,5846233.464469518
29,7175101.9229999995,7017396.526619629
30,5185127.796000001,6746176.712995835
31,4765241.7080000015,4927142.706076277
32,5858200.055,4935310.9949930515
33,6700247.037000001,5627248.604739208
34,5357306.245,6299942.375332062
35,5280422.902,5266441.251077835
36,6694911.488,5836334.724943587
37,6682464.846,6735891.352619758
38,5370280.366,6196843.095677007
39,4174014.393,5101760.034773019
40,3999226.5270000002,4572753.345440968
41,5025919.508,4819022.57018784
42,4774025.546,5656054.827624496
43,4615655.352,5068049.9993587
44,4676531.936000002,4911142.628892745
45,4795897.5660000015,4786554.820427641
46,4328133.823,4857086.834202583
47,4514209.141,4471213.224092599
48,5061732.575,4748349.176888827
49,4718008.299,5159832.688277172
50,4741220.826,4873913.315264003
51,4717467.605,4909747.230372904
52,4697509.185,4727753.685748748
53,4214619.961,4700037.866928454
54,4846462.989,4401101.799916157
55,6388268.297,5003505.176658401
56,5473427.7700000005,5941136.0634181285
57,5453256.945,4908206.106646902
58,7456716.714,5216999.701633288
59,8553113.678,6614518.769478683
60,7879497.047,7077240.625000677
61,7429985.339,6567401.145961032
62,6226115.749,6644336.522298992
63,5515547.408999999,5770453.025575624
64,4778108.335,5758870.479094992
65,4703388.31,5244718.490003011
66,4739710.312,5405385.889471301
67,4168475.7,5231200.666430605
68,3981188.175,4709911.763638424
69,4177516.9529999997,4588025.955442248
70,4783533.231000002,4558521.45387276
71,4768200.179,5047999.311896925
72,4747516.759,5019682.123103091
73,4729908.985,5075576.720742579
74,4312041.286,4923264.90908924
75,4410541.412,4571471.803791946
76,5367062.835,4691784.330214636
77,5171079.507,5315551.3698348105
78,5257269.666999999,4967143.840599563
79,5274012.752,5091197.854447662
80,5615629.672,5008285.137247802
81,4901701.555,5264834.0729840305
82,4808274.6219999995,4715786.763687052
83,4862618.865,4944145.042406367
84,4757252.095,5002134.258814347
85,4768582.166,4940893.313352762
86,4909368.82,4927479.351582361
87,4908211.427,4951150.426795239
88,4635999.553,4864033.696739278
89,4588015.705,4679005.852022202
90,5214935.935,4746737.653112929
91,5039796.03,5201806.617614296
92,4921582.158,4944432.002280529
93,4885117.834,4958670.919368119
94,4991246.994,4908410.063993101
95,4280720.8719999995,4973350.633475939
96,4143412.337,4452194.925839887
97,4810168.72,4551991.559532822
98,5006604.836,5001616.688077153
99,5425019.87,4988945.548232399
100,5127091.771000002,5235361.367321851
101,5063998.391,4843177.17496152
102,4510730.704,4892771.257847508
103,4246244.032,4533286.005534687
104,4891026.351,4595905.184071848
105,5094639.891,5119414.223416954
106,5397204.949000001,5120600.594628155
107,4769114.6280000005,5271448.925408873
108,3975759.208,4632315.409054224
109,3918375.255,4191006.612329944
110,3848386.4460000005,4323787.624955818
111,4126558.329,4363675.4820325645
112,4889017.17,4624431.472602357
113,4869106.4569999995,5046909.849396383
114,4323241.373,4753302.81990585
115,5253234.323,4299657.500857923
116,5054750.271000002,5001758.647025502
117,4918482.9569999995,4716942.932407711
118,5583997.199,4863996.613585424
119,5371363.783,5404561.3687223205
120,5055002.118,5136282.423026461
121,5062608.289,4970955.583218797
122,4973931.97,4991648.997062024
123,4846041.898,4938894.444446369
124,4919476.231000002,4904311.071787565
125,5633232.967,5006250.633748252
126,5610002.489,5513201.103332929
127,5866443.036000001,5266826.713079424
128,6133333.436000003,5504341.706107409
129,6434975.967000001,5640577.391140598
130,5607099.876,5886230.687878921
131,5225233.373,5254821.911155489
132,5731186.8620000025,5358704.282723579
133,5614953.955,5765244.435875853
134,5733754.164,5544345.44803995
135,5764082.824,5705317.334966841
136,5918075.622,5557308.183153098
137,5267313.804,5657513.962815024
138,5019385.362,5087549.074906889
139,5692633.793,5209254.392440165
140,5642282.5479999995,5748750.689206633
141,5513042.352999999,5577323.960302064
142,5490733.417,5581786.106674448
143,5605063.0,5467584.912978171
144,4830251.011,5480200.428092144
145,5347597.728999998,4847444.055351889
146,6974170.083,5555004.537075966
147,7101337.536,6585485.557132106
148,7577903.05,6303958.365009635
149,7729016.2069999995,6815931.863668742
150,7083965.2930000005,6654077.223852833
151,6068833.115,6274915.302450315
152,6074144.8379999995,5823488.598966582
153,7583465.715,6272346.714621621
154,7434836.295999999,7456645.904600364
155,7348459.07,6813379.499719859
156,6809078.004,6970397.105654889
157,6344625.325,6138307.627030023
158,5734325.357000003,6062884.548060188
159,5342529.573,5731596.254003312
160,5376566.78,5911427.821786546
161,6155194.425,6020324.386208811
162,6433355.442000003,6605026.640940523
163,6275883.267999996,6371075.97636465
164,6299941.323,6054325.002899037
165,6000174.69,5984783.65978507
166,5889783.24,5815025.962516089
167,6705599.66,6053798.885653728
168,7364571.87,6746960.674045287
169,7655401.336,7023810.173963598
170,7913994.631,7093019.506965712
171,7596580.2710000025,7131580.192731466
172,6988195.649,6738200.358371471
173,7409942.241,6476009.713286937
174,7927856.494,7135859.241031693
175,7836930.9679999985,7501427.28942519
176,7439037.427,7438113.019037364
177,7009704.787000001,7091951.048595282
178,6271463.001,6736818.4314661175
179,5990020.74,6159900.741922428
180,6058967.237000002,6232484.06250101
181,7175122.1379999975,6395608.220912152
182,7090941.823,7421551.334871435
183,6904114.578,6846995.958113125
184,7280213.658,6912186.98374055
185,7054741.095,6947341.234170213
186,5943180.679,6693716.218201759
187,5887535.581,6073270.438548666
188,6452831.716,6462769.86851237
189,6848213.57,6739396.290083275
190,6931664.708,6871743.169068127
191,7384404.71,6687424.249956375
192,7110957.977999999,6918964.509531714
193,6959715.973999998,6458282.227471711
194,7242407.417,6674108.500601262
195,7532929.294,6995734.749950166
196,7226947.882,7284042.9444094775
197,7353007.170999999,7006763.511676167
198,7170230.102,7259176.9514772855
199,6808695.86,6814323.381870309
200,6056448.446,6595436.589699215
201,5942583.955000001,6033746.170206977
202,6826684.027000003,6291977.609193278
203,6967429.262,6947063.110516305
204,7213338.7760000015,6786524.9226622265
205,7014480.997,7089181.400541784
206,7060453.733999999,6623658.028630949
207,6086019.794,6861715.652496194
208,6020284.2710000025,5962032.275758997
209,6782594.442000003,6479025.037234721
210,7117140.864,6891860.780034123
211,7430637.864,7032204.872917381
212,7218502.656,7145719.303987003
213,7010434.918,6677228.12091926
214,6366503.597,6586310.077881088
215,6289650.517000001,6110651.41648243
216,6812247.767000001,6497778.68344801
217,7524862.652000003,6899162.68479776
218,7152507.204,7404432.244549132
219,7384121.1110000005,6779032.387310807
220,8153366.407999999,7114570.034173612
221,7668823.9470000025,7390033.551216614
222,7242314.534,6944148.026968785
223,7754138.865,7095797.266959115
224,7565828.696,7603497.511560786
225,7370075.488,7302429.815054176
226,7276349.784,7308332.41018409
227,7072285.905000001,7061652.373623425
228,5942329.6039999975,6899374.174659586
229,6060992.991,5981456.605575199
230,7521062.2,6571870.824849042
231,7150118.772999999,7517166.770539254
232,6626205.182,6805163.263444
233,6733957.719,6799861.531291383
234,6739401.120999999,6729989.336914123
235,5965455.949,6667490.895911093
236,6067609.668999999,6063716.311612655
237,6883138.363,6534405.250970549
238,6836861.6,6990325.824305939
239,7463465.596,6698638.427451649
240,7210021.425000001,7245765.597116141
241,6976176.277000003,6544717.264863458
242,5797512.6,6649522.3695958145
243,5660741.538999999,5686294.546175968
244,6088343.802000001,6251565.08343192
245,5556963.042,6343722.51500282
246,5651699.6060000025,5846546.788148373
247,5506717.743,6037488.092200594
248,5914214.3889999995,5573307.680912352
249,6109043.2639999995,5931653.495380571
250,6380779.6510000015,5876502.154234938
251,7271594.515,6250842.541356039
252,6649148.279,6905983.087985569
253,6075594.528999999,6176165.7608575225
254,5937773.978999998,6084929.6138901925
255,5819504.75,5931080.299912595
256,4819184.694,5885925.91070818
257,5076432.41,5150050.123319175
258,6103512.645,5642793.544151606
259,6294666.488,6098325.903220084
260,5950261.544,5940029.652757427
261,5298729.4,5626228.528296073
262,4837218.297,5183398.887695555
263,4467588.113,5073703.731760793
264,4828496.704,4983152.319435141
265,5985078.502,5440250.138049338
266,6124935.631,6123169.878029674
267,5885741.235,5795596.852449585
268,5357014.025,5526663.157318484
269,5219544.62,5030305.142977741
270,5036389.054,5108308.10854971
271,4993439.774,5146779.852688643
272,6030581.529,5355497.748763734
