ds,Actual,Prophet,Prophet (Walk-Forward)
2019-01-01,3858957.9910000004,4740455.528825593,4740455.528825594
2019-01-02,4264155.819,4833124.076669634,4804444.839073926
2019-01-03,4690920.697,4897446.510259728,4845822.923352058
2019-01-04,5841792.852000001,4799631.4284459,4744901.558807865
2019-01-05,3913922.67,4223619.991331733,4213499.25142707
2019-01-06,3730699.937,4167116.4062395673,4150247.21802444
2019-01-07,4522176.411,4978752.476970841,4943837.713041093
2019-01-08,4678678.71,5109549.034733012,5068641.567699989
2019-01-09,4440206.5,5205208.102520607,5152024.790051535
2019-01-10,4419718.964,5264663.380631029,5197811.525322904
2019-01-11,5010505.994,5157199.384851781,5071928.041143364
2019-01-12,4427204.071,4569112.277918275,4486605.57388966
2019-01-13,4538930.193,4499453.253618585,4419495.445544326
2019-01-14,6719079.187999999,5297081.977751513,5231334.938216205
2019-01-15,6908755.656,5412203.702192503,5399097.798497008
2019-01-16,5909232.3879999975,5488910.093490137,5535110.603694765
2019-01-17,6370372.761,5524114.7176997075,5585238.724575365
2019-01-18,5746941.977999999,5385138.613367162,5481245.271600823
2019-01-19,4255138.382,4756852.69078693,4851386.927143122
2019-01-20,4245171.891,4637848.42128158,4701215.284418153
2019-01-21,5503980.766,5377800.607993392,5420342.904446976
2019-01-22,6170490.607999999,5429146.013757411,5454443.138844975
2019-01-23,5546048.851,5439568.523035266,5471322.313322892
2019-01-24,7780597.272000001,5410677.0953260325,5433727.641122707
2019-01-25,8912832.263,5215153.1999452375,5308619.496999994
2019-01-26,5286246.01,4543319.790019892,4725405.158601387
2019-01-27,4385012.565,4398667.812245652,4585558.948561303
2019-01-28,5366250.573,5134580.495766916,5303410.925044456
2019-01-29,6875957.4810000025,5205458.650875277,5357070.780313502
2019-01-30,7175101.9229999995,5258810.602006188,5436155.517478403
2019-01-31,5185127.796,5293750.459367832,5512961.216907923
2019-02-01,4765241.7080000015,5178215.962274717,5377524.0697348565
2019-02-02,5858200.055,4595864.682500918,4727287.903203871
2019-02-03,6700247.037000001,4542161.715815325,4679957.1492107045
2019-02-04,5357306.245,5361848.253017771,5558146.392078273
2019-02-05,5280422.902,5500920.327581127,5668338.742726392
2019-02-06,6694911.488,5599592.04754318,5736854.099275588
2019-02-07,6682464.846,5651591.9829091905,5803617.810774526
2019-02-08,5370280.366,5522013.763603718,5696339.030839104
2019-02-09,4174014.393,4894604.642094372,5033835.704961791
2019-02-10,3999226.527,4767954.087683473,4870321.027382482
2019-02-11,5025919.508,5492751.056313244,5563412.936494759
2019-02-12,4774025.546,5523251.889460191,5573753.765316569
2019-02-13,4615655.352,5509478.637739748,5534188.387903001
2019-02-14,4676531.936000002,5455570.568329075,5465087.994209033
2019-02-15,4795897.5660000015,5236605.114993786,5238864.52531434
2019-02-16,4328133.823,4544878.3914927505,4530808.266881641
2019-02-17,4514209.141,4385213.510348073,4381573.936303644
