,Actual,SARIMA (weekly),SARIMA (Yearly),SARIMAX,SARIMAX (Walk-Forward)
2019-01-01,3858957.9910000004,4341857.5358802015,3974896.064201017,4518188.389274815,4518188.389274815
2019-01-02,4264155.819,4587021.710932415,4323975.706532287,4861790.886200139,4415858.235752902
2019-01-03,4690920.697,4789655.836739242,4246830.882745451,5126768.234810905,4724772.961409157
2019-01-04,5841792.852000001,4806032.712138755,4383169.788397782,5170638.133345155,4877707.090572893
2019-01-05,3913922.67,4292207.255499163,4879139.649967772,4601621.269029822,5045529.528155136
2019-01-06,3730699.937,4270071.898721519,6008135.122216644,4517032.292058572,4047465.760937289
2019-01-07,4522176.411,5093944.560112459,4228975.346278444,5279320.742866779,4744487.193691736
2019-01-08,4678678.71,5212289.2477080645,4737406.742291815,5315509.286387376,4775230.602184522
2019-01-09,4440206.5,5351906.158926486,4635136.419480537,5405129.988231403,4964410.19409571
2019-01-10,4419718.964,5461791.526229028,4795887.814325471,5498788.862791449,4852256.718456896
2019-01-11,5010505.994,5396666.220599645,6135753.163280318,5426827.356725482,4737408.8357428415
2019-01-12,4427204.071,4811221.417031975,5836896.609362474,4779221.899612485,4452785.181980038
2019-01-13,4538930.193,4726151.169559986,4148695.7849609274,4641039.7225451525,4384548.632448718
2019-01-14,6719079.187999999,5494720.332153503,3864969.871730935,5366509.158026965,5284555.044714487
2019-01-15,6908755.656,5564467.541538006,4655666.66995505,5377134.818473742,6255469.002507651
2019-01-16,5909232.3879999975,5661379.832979483,4881353.293678455,5448745.587846673,6462453.8345794305
2019-01-17,6370372.761,5733738.879628688,5485583.979916457,5529462.784968213,5836362.403975561
2019-01-18,5746941.977999999,5635637.6395656895,7399373.305365322,5447961.239938012,6067885.98976369
2019-01-19,4255138.382,5021215.514671597,8212093.332489423,4793100.014624733,4969796.344803331
2019-01-20,4245171.891,4910681.693060559,5462563.296062279,4649197.730126285,4288901.919710687
2019-01-21,5503980.766,5656874.956907921,5566877.699877612,5369981.685219428,5141104.644383236
2019-01-22,6170490.607999999,5706959.535981215,6011125.6316605285,5376621.673173253,5465647.67220069
2019-01-23,5546048.851,5786593.458623239,5385745.9463947965,5444723.346172035,5951506.999825494
2019-01-24,7780597.272000001,5843769.285955153,5273358.173929165,5522259.700612238,5607362.266787918
2019-01-25,8912832.263,5732325.92132515,5849398.20848338,5437807.526365551,7011105.040333953
2019-01-26,5286246.01,5106179.518184035,5408232.547606483,4780161.59092678,7083748.635310991
2019-01-27,4385012.565,4985343.086990598,6384897.514179087,4633598.862610481,4969546.9083230905
2019-01-28,5366250.573,5722483.020477574,8397815.785882762,5351820.171783567,5260433.183797601
2019-01-29,6875957.4810000025,5764612.062659102,8342834.178645307,5355979.019062295,5383663.601086361
2019-01-30,7175101.9229999995,5837255.125063305,5147639.250705815,5421671.575100122,6387737.355599105
2019-01-31,5185127.796,5888287.793545021,4787781.160561468,5496865.905022847,6809835.309177215
2019-02-01,4765241.7080000015,5771446.180434149,4747747.85739426,5410136.897916194,5347480.27111697
2019-02-02,5858200.055,5140556.112450271,4832099.5967589235,4750279.428783798,4216056.462077984
2019-02-03,6700247.037000001,5015551.226206975,4567633.829413096,4601571.893658325,5337734.551416997
2019-02-04,5357306.245,5749028.16534704,4666367.1412248565,5317717.407096043,6794828.951942278
2019-02-05,5280422.902,5787938.382466276,5524180.679122394,5319872.297295958,5424360.136975264
2019-02-06,6694911.488,5857752.929781353,6178731.747066623,5383635.893999465,5359196.735317067
2019-02-07,6682464.846,5906300.06473621,7935682.567036265,5456979.609015064,6373527.832809463
2019-02-08,5370280.366,5787274.310223056,6929204.263019738,5368481.76747728,6276105.990623502
2019-02-09,4174014.393,5154464.946597574,6054080.569010745,4706940.702290455,4690544.712656963
2019-02-10,3999226.527,5027773.495667563,5226705.508005849,4556638.2423932,4245058.653064973
2019-02-11,5025919.508,5759768.380463933,4303861.802003183,5271280.8773302585,4934607.796925339
2019-02-12,4774025.546,5797376.254960341,4943324.193001733,5272028.228847142,5183134.076081836
2019-02-13,4615655.352,5866046.3797956025,5398590.244000943,5334482.821626725,5041794.816308507
2019-02-14,4676531.936000002,5913587.863250345,5123788.269000512,5406619.150975086,4976498.5585450865
2019-02-15,4795897.5660000015,5793678.401052732,4944529.73400028,5317018.504199644,4884619.24764738
2019-02-16,4328133.823,5160092.486831459,4859182.433000152,4654482.04721454,4269538.889822275
2019-02-17,4514209.141,5032718.648684014,4328389.190000083,4503294.306395761,4314540.566173517
2019-02-18,5061732.575,5764113.891529116,4304212.208000046,5217164.327762394,5254190.551702039
2019-02-19,4718008.299,5801194.835771655,5090669.427000023,5217254.143925188,5172465.650449218
2019-02-20,4741220.826,5869401.925137406,5336000.1960000135,5279168.540738781,4969477.983504504
2019-02-21,4717467.605,5916536.520119813,5406730.471000008,5350884.12134332,5028766.643289198
2019-02-22,4697509.185,5796269.5081450865,6140242.230000004,5260984.124258027,4888611.4275339665
2019-02-23,4214619.961,5162369.4001046065,6672507.0830000015,4598271.507008628,4186045.6282847235
2019-02-24,4846462.989,5034719.466816437,5534797.5660000015,4447032.425276511,4223617.103739961
2019-02-25,6388268.297,5765872.093409814,4222678.2020000005,5160977.389623626,5450621.522917895
2019-02-26,5473427.77,5802739.840688991,5156719.508,5161269.730220066,6026243.780163223
2019-02-27,5453256.945,5870759.585040288,5887733.363,5223515.361501849,5449253.342209921
2019-02-28,7456716.714,5917729.5521880025,5908960.4410000015,5295691.84443935,5478943.150494977
2019-03-01,8553113.678,5797317.874906679,5046730.846000001,5206383.203075902,6700087.701841219
2019-03-02,7879497.047,5163290.643461023,5025156.834,4544393.006816958,6749281.664740954
2019-03-03,7429985.339,5035529.001564041,4776708.598999999,4394007.848457015,6723570.419167009
2019-03-04,6226115.749,5766583.465169527,4207671.355,5108938.499998177,7256196.459912219
2019-03-05,5515547.409,5803364.952559748,4833808.366,5110348.376687416,5919278.22387766
2019-03-06,4778108.335,5871308.896768826,4986524.637,5173843.301200284,5483405.159327431
2019-03-07,4703388.31,5918212.255187618,5378032.011,5247400.565651694,5094139.7510365285
2019-03-08,4739710.312,5797742.046053465,5749761.871,5159603.7480934,4920023.257792262
2019-03-09,4168475.7,5163663.38024101,5801801.864,4499255.794978487,4215499.010150085
2019-03-10,3981188.175,5035856.540832582,5513413.587,4350642.4995798515,4206376.323834608
2019-03-11,4177516.953,5766871.287510108,4468289.118,5067473.658416057,4848922.614449088
2019-03-12,4783533.231000002,5803617.873988396,4233113.212,5070911.536110974,4497729.003654133
2019-03-13,4768200.179,5871531.149318576,4891728.797,5136560.630614014,4944647.37272114
2019-03-14,4747516.759,5918407.55772143,4890545.781,5212396.736460423,5034212.959415366
2019-03-15,4729908.985,5797913.666490471,4885452.037,5127001.762729858,4901892.910021788
2019-03-16,4312041.286,5163814.190237291,4892906.964,4469176.817181923,4189431.089746398
2019-03-17,4410541.412,5035989.063831445,4988249.357,4323205.6865537185,4277816.002585787
2019-03-18,5367062.835,5766987.7409658525,4589677.3160000015,5042795.995070673,5110017.448101195
2019-03-19,5171079.507,5803720.206470087,5067265.587,5049107.671594668,5300637.07378053
2019-03-20,5257269.666999999,5871621.073114673,4920157.4920000015,5117742.717333641,5196851.174033945
2019-03-21,5274012.752,5918486.577490821,4929104.445,5196674.271789266,5353644.253049848
2019-03-22,5615629.672,5797983.104439329,5051414.625,5114481.433597829,5252480.954416933
2019-03-23,4901701.555,5163875.208243025,5429843.698999999,4459962.347739646,4788953.217591449
2019-03-24,4808274.6219999995,5036042.68288392,4689383.879,4317397.689098502,4682737.863524165
2019-03-25,4862618.865,5767034.858251215,4424551.9860000005,5040491.824418605,5387962.906696394
2019-03-26,4757252.095,5803761.610383014,4951820.265,5050401.283079059,4959597.380890543
2019-03-27,4768582.166,5871657.456450268,4940184.116999999,5122724.5286057815,4921982.464117879
2019-03-28,4909368.82,5918518.549036876,5106158.509,5205431.028593089,5029153.983363772
2019-03-29,4908211.427,5798011.199162929,4906580.109,5127096.079685368,5023586.285254978
2019-03-30,4635999.553,5163899.896241934,3982542.9120000005,4476513.899089389,4319095.024685168
2019-03-31,4588015.705,5036064.377252543,3853309.777,4337961.112593664,4510166.915033908
2019-04-01,5214935.935,5767053.92199274,3792802.738,5065137.92113716,5231430.373817525
2019-04-02,5039796.03,5803778.362483396,4014966.878,5079196.576341917,5199485.046422979
2019-04-03,4921582.158,5871672.177215699,4788604.363,5155731.156923987,5117935.2844545655
2019-04-04,4885117.834,5918531.484784032,4838017.79,5242706.643649081,5138738.2345552575
2019-04-05,4991246.994,5798022.56634049,4899940.703,5168693.7494775085,5014593.140558925
2019-04-06,4280720.8719999995,5163909.885052332,4813835.7919999985,4522482.016362846,4397646.453950173
2019-04-07,4143412.337,5036073.154834545,4239683.690000001,4388343.308674552,4288337.773076951
2019-04-08,4810168.72,5767061.635218112,4247927.6910000015,5119972.985280447,4948025.047270669
2019-04-09,5006604.836,5803785.140414451,4922512.932,5138518.380697178,4939943.627555645
2019-04-10,5425019.87,5871678.133264844,5125888.152,5219568.587216392,5109524.998136647
2019-04-11,5127091.771000002,5918536.718611455,5093941.929,5311083.535666339,5490945.8260819465
2019-04-12,5063998.391,5798027.16552173,5103216.102,5241628.831446607,5196397.845962361
2019-04-13,4510730.704,5163913.9265436465,4925844.087,4599988.857293487,4468082.116408418
2019-04-14,4246244.032,5036076.706260592,4662805.0260000015,4470430.272739158,4464819.386298194
2019-04-15,4891026.351,5767064.756003481,4710448.225,5206643.192293484,5042563.068924066
2019-04-16,5094639.891,5803787.882777995,5156440.130999999,5229769.672749312,5026941.123775633
2019-04-17,5397204.949,5871680.5430934355,5289703.506,5315393.501511784,5208898.674159298
2019-04-18,4769114.6280000005,5918538.83622779,5341285.624,5411469.283604,5494811.841340942
2019-04-19,3975759.208,5798029.026359036,5166980.047,5346557.283979378,4981425.159920448
2019-04-20,3918375.255,5163915.561738569,5125160.054,4709436.5365907885,3768098.110285963
2019-04-21,3848386.4460000005,5036078.143174193,4546380.925,4584368.350172197,4090653.7228173087
2019-04-22,4126558.329,5767066.018679062,4419615.87,5325037.492754111,4805990.925080839
2019-04-23,4889017.17,5803788.9923434,5030690.101,5352580.685306245,4546225.985173474
2019-04-24,4869106.4569999995,5871681.518114578,5017662.798,5442576.396400403,5111189.225367902
2019-04-25,4323241.373,5918539.693019309,4412463.46,5542973.935538403,5152272.219979924
2019-04-26,5253234.323,5798029.77925728,5187330.829,5482328.30176792,4680831.967110762
2019-04-27,5054750.271000002,5163916.223341485,5227078.694,4849413.299028852,4674080.703389323
2019-04-28,4918482.9569999995,5036078.724552115,4783954.112,4728485.048178462,4896737.312355981
2019-04-29,5583997.199,5767066.529559956,4639597.527,5473223.177709245,5559903.614843829
2019-04-30,5371363.783,5803789.441275631,5370498.078999999,5504759.323545537,5590437.89200951
2019-05-01,5055002.118,5871681.912609951,5425418.871,5598666.929804553,5483373.048170515
2019-05-02,5062608.289,5918540.039678755,5255944.768999998,5702890.348159479,5316038.714842942
2019-05-03,4973931.97,5798030.083881314,5190443.638,5645979.692420289,5259776.8912162585
2019-05-04,4846041.898,5163916.491027257,5486316.012,5016703.959767795,4551089.615421898
2019-05-05,4919476.231000002,5036078.9597787075,4849505.04,4899314.548582239,4813008.505890672
2019-05-06,5633232.967,5767066.736263319,4655325.925,5647486.454873401,5617891.493128161
2019-05-07,5610002.489,5803789.622914449,5505315.609,5682346.777691496,5675586.963921874
2019-05-08,5866443.036,5871682.072223514,5390255.91,5779464.525397843,5692773.964217512
2019-05-09,6133333.436000003,5918540.179937813,5724787.2979999995,5886779.720426368,5917666.060074075
2019-05-10,6434975.967,5798030.207132766,6467774.291,5832838.25914518,6035341.851619826
2019-05-11,5607099.876,5163916.59933342,6980758.5129999975,5206405.038247434,5607717.79255703
2019-05-12,5225233.373,5036079.054951825,5544845.1729999995,5091727.47760664,5394979.681688624
2019-05-13,5731186.8620000025,5767066.819895885,5141748.209,5842476.721597374,5890638.618555609
2019-05-14,5614953.955,5803789.696405854,6409794.459,5879776.14925486,5807424.922836624
2019-05-15,5733754.164,5871682.136803459,6628154.2639999995,5979191.185146677,5767853.182501227
2019-05-16,5764082.824,5918540.23668689,6648882.7239999985,6088658.408582197,5901844.987455379
2019-05-17,5918075.622,5798030.257000533,6526106.982000003,6036720.417763625,5865299.1309929965
2019-05-18,5267313.804,5163916.643154296,6129874.568,5412138.960302769,5325248.165078202
2019-05-19,5019385.362,5036079.093459046,5821676.512,5299158.46003368,5227472.458157972
2019-05-20,5692633.793,5767066.853733777,5787818.756,6051447.222117439,5813118.6758988695
2019-05-21,5642282.5479999995,5803789.726140614,6355100.597999997,6090125.9468079405,5841981.64241824
2019-05-22,5513042.352999999,5871682.162932626,6283876.255,6190757.5437476495,5850365.276104184
2019-05-23,5490733.417,5918540.259647672,6301240.3220000025,6301276.24441476,5814165.030343627
2019-05-24,5605063.0,5798030.277177124,6259483.29,6250222.469321758,5746973.45364582
2019-05-25,4830251.011,5163916.660884304,6121145.31,5626355.96138579,5176774.106904114
2019-05-26,5347597.728999998,5036079.10903914,5622090.024,5513919.315397553,4990890.255625019
2019-05-27,6974170.083,5767066.867424651,5288393.938999998,6266579.185581726,6097086.400007423
2019-05-28,7101337.536,5803789.738171353,5841504.501,6305454.801614832,6772312.572449115
2019-05-29,7577903.05,5871682.173504535,5893630.377,6406107.784966727,6899655.021621699
2019-05-30,7729016.207,5918540.268937647,6468095.416,6516471.263184632,7275083.340100448
2019-05-31,7083965.293,5798030.285340611,6610657.056,6465084.73871748,7327916.540023105
2019-06-01,6068833.115,5163916.668057898,6886781.831,5840707.223698895,6247005.956682046
2019-06-02,6074144.8379999995,5036079.115342875,6364362.701000001,5727580.770613835,5915904.5909360545
2019-06-03,7583465.715,5767066.872964004,6400508.318,6479371.6808403265,6689759.901772124
2019-06-04,7434836.296,5803789.743039013,6994939.182999997,6517199.021430955,7272244.487049457
2019-06-05,7348459.07,5871682.17778195,6683190.8829999985,6616624.441999306,7219710.02108657
